Contestant Name,OUTCOME,Day left Villa,Age,Profession,From,Area of UK,Gender,First Group to enter villa,Day Joined Villa,NUMBER OF DAYS IN VILLA,Number of Couples,Casa Amor addition,Times got Pied,Number of dates,Number of challenges won,Number of Bust Ups,Do Bits,Longest couple length,Was longest couple final couple,love-island-series
Cara De La Hoyde,WINNER,45,26,circus performer,Kent,South,female,YES,1,44,1,,,,,,,44,YES,2016
Nathan Massey,WINNER,45,25,carpenter,Essex,South,male,YES,1,44,1,,,,,,,44,YES,2016
Alex Bowen,RUNNER UP,45,24,model,Birmingham,Midlands,male,NO,18,27,1,,,,,,,25,YES,2016
Olivia Buckland,RUNNER UP,45,22,sales executive,Essex,South,female,YES,1,44,4,,,,,1,,25,YES,2016
Kady McDermott,THIRD PLACE,45,20,makeup artist,Stevenage,South,female,NO,3,42,1,,,,,2,,39,YES,2016
Scott Thomas,THIRD PLACE,45,28,nightclub promoter,Manchester,North,male,YES,1,44,2,,,,,1,,39,YES,2016
Adam Maxted,DUMPED,45,24,wrestler,Belfast,Ireland,male,NO,11,34,5,,,,,,,12,NO,2016
Katie Salmon,DUMPED,45,20,glamour model,Wirral,North,female,NO,34,11,2,,,,,,,5,YES,2016
Emma Jane Woodham,DUMPED,41,19,project manager,Oxford,South,female,NO,27,14,1,,,,,,,9,YES,2016
Terry Walsh,DUMPED,41,28,carpenter,Surrey,South,male,NO,3,38,2,,,,,1,,19,NO,2016
Adam Jukes,DUMPED,41,23,recruitment consultant,Manchester,North,male,NO,34,7,1,,,,,,,4,YES,2016
Lauren Whiteside,DUMPED,41,25,events manager,Blackpool,North,female,NO,37,4,1,,,,,,,4,YES,2016
Tina Stinnes,DUMPED,40,21,student,London,South,female,NO,20,20,2,,,,,1,,5,NO,2016
Sophie Gradon,WALKED,39,30,marketing manager,Newcastle,North,female,YES,1,38,2,,,,,,,31,NO,2016
Troy Frith,DUMPED,37,23,salesman,Kent,South,male,NO,30,7,1,,,,,,,5,YES,2016
